Conductivity,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,delta C ,Date,Comment,delta C ,Date ,Comment,,delta C ,Date,Comment,delta C ,Date ,Comment,delta C ,Date,Comment,delta C ,Date ,Comment,delta C,Date,Comment,delta C,Date,Comment,delta C ,Date ,Comment,delta C ,Date ,Comment
,[mS-cm],,,[mS-cm],,,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,dy053,,,dy054,,,dy078,,,ar304,,,msm74,,,dy120,,
11323,-0.0004,14/12/2015,CRG,0.0016,12/09/2016,CRG,,,,,,,,0.0033,30/08/2016,CRG,,,,,,,0.001,24/01/2019,SJ,-0.0015,04/02/2019,LH,0.0033,29/01/2021,LH
11324,-0.0002,14/12/2015,CRG,0.0003,12/09/2015,CRG,,,,,,,,0.0003,30/08/2016,CRG,,,,,,,-0.0011,24/01/2019,SJ,-0.0051,04/02/2019,LH,-0.0025,29/01/2021,LH
11325,-0.0005,14/12/2015,CRG,,LH flooded,,,,,,,,,,,,,,,-0.0026,24/01/2019,SJ,-0.0026,07/02/2019,SJ,,,,,,
11326,,,,,,,,-0.0049,23/08/2016,CRG,0.001,26/08/2016,CRG,,,,-0.0017,05/10/2016,CRG,,,,-0.0028,24/01/2019,SJ,,,,0.0145,29/01/2021,LH
11327,,,,,,,,0,24/08/2016,CRG,-0.0009,23/09/2016,CRG,,,,-0.0017,05/10/2016,CRG,-0.0019,07/02/2019,SJ,-0.0027,07/02/2019,SJ,,,,,,
11328,,,,,,,,-0.0041,23/08/2016,CRG,0.0005,26/08/2016,CRG,,,,-0.0044,05/10/2016,CRG,,,,-0.0077,24/01/2019,SJ,,,,-0.006,29/01/2021,LH
11329,,,,,,,,-0.003,23/08/2016,CRG,0.0088,26/08/2016,CRG,-0.0003,26/07/2017,COD,,,,0.0054,26/07/2017,COD,-0.0039,03/12/2020,SJ/LD,,,,0.0108,28/01/2021,LH
11330,,,,,,,,-0.0027,24/08/2016,CRG,0.0002,26/08/2016,CRG,,,,0.0054,05/10/2016,CRG,-0.005,07/02/2019,SJ,-0.0035,07/02/2019,SJ,,,,,,
11331,-0.0039,14/12/2015,CRG,-0.0008,12/09/2016,CRG,,,,,,,,-0.0024,30/08/2016,CRG,,,,,,,-0.0072,24/01/2019,SJ,-0.0078,04/02/2019,LH,-0.0013,29/01/2021,LH
11332,0.0011,14/12/2015,CRG,0.0016,12/09/2016,CRG,,,,,,,,-0.0006,30/08/2016,CRG,,,,,,,-0.0022,24/01/2019,SJ,-0.0058,04/02/2019,LH,0.006,02/02/2021,LH
11333,0.0008,14/12/2015,CRG,0.0002,12/09/2016,CRG,,,,,,,,-0.0007,30/08/2016,CRG,,,,,,,-0.0013,24/01/2019,SJ,-0.0055,04/02/2019,LH,-0.0029,02/02/2021,LH
11334,0.0076,14/12/2015,CRG,0.0106,14/12/2015,CRG,,,,,,,,,,,,,,-0.0055,07/02/2019,SJ,-0.0058,07/02/2019,SJ,,,,,,
11335,0.0001,14/12/2015,CRG,0.0031,14/12/2015,CRG,,,,,0.0031,14/12/2015,CRG*,,,,0.0009,05/10/2016,CRG,-0.0009,07/02/2019,SJ,0.0051,07/02/2019,SJ,,,,,,
11336,,,,,,,,-0.0056,23/08/2016,CRG,-0.0012,26/08/2016,CRG,,,,-0.0047,05/10/2016,CRG,,,,-0.0056,24/01/2019,SJ,,,,-0.0031,29/01/2021,LH
11337,,,,,,,,-0.0061,23/08/2016,CRG,-0.0025,26/08/2016,CRG,-0.0033,26/07/2017,COD,,,,-0.0052,26/07/2017,COD,-0.0081,03/12/2020,SJ/LD,,,,-0.003,28/01/2021,LH
11338,,,,,,,,-0.0002,21/09/2016,CRG,0.0002,23/09/2016,CRG,,,,0,05/10/2016,CRG,-0.0018,07/02/2019,SJ,0.0027,07/02/2019,SJ,,,,,,
11339,,,,,,,,-0.0102,23/08/2016,CRG,-0.0026,26/08/2016,CRG,-0.0036,26/07/2017,COD,,,,-0.007,26/07/2017,COD,0.0113,24/01/2019,SJ,,,,0.0226,29/01/2021,LH
11340,,,,,,,,-0.0036,23/08/2016,CRG,0,26/08/2016,CRG,,,,-0.0047,05/10/2016,CRG,,,,-0.0056,24/01/2019,SJ,,,,0.0076,29/01/2021,LH
11341,,,,,,,,0.0028,21/09/2016,CRG,0.0006,26/08/2016,CRG,,,,-0.0008,05/10/2016,CRG,-0.0013,07/02/2019,SJ,0.002,07/02/2019,SJ,,,,,,
11342,,,,,,,,0.0013,24/08/2016,CRG,0.0011,23/09/2016,CRG,,,,-0.0025,05/10/2016,CRG,-0.0039,07/02/2019,SJ,0.0011,07/02/2019,SJ,,,,,,
11343,,,,,,,,0.0003,24/08/2016,CRG,-0.0035,23/09/2016,CRG,,,,-0.0032,05/10/2016,CRG,-0.0068,07/02/2019,SJ,0.0028,07/02/2019,SJ,,,,,,
13019,,,,-0.0055,12/09/2016,CRG,,,,,,,,-0.0059,30/08/2016,CRG,,,,,,,-0.0113,24/01/2019,SJ,-0.012,04/02/2019,LH,0.0183,29/01/2021,LH
13020,,,,-0.0044,12/09/2016,CRG,,,,,,,,-0.0044,30/08/2016,CRG,,,,,,,,,,0.699,04/02/2019,LH,,,
13021,,,,-0.0303,12/09/2016,CRG,,,,,,,,-0.0101,30/08/2016,CRG,,,,,,,-0.0116,24/01/2019,SJ,-0.0064,04/02/2019,LH,,,
13022,,,,-0.003,12/09/2016,CRG,,,,,,,,0.0571,30/08/2016,CRG,,,,,,,,,,-14.3061,04/02/2019,LH,,,
14353,,,,,,,,,,,,,,0.0009,26/07/2017,COD,,,,-0.0011,26/07/2017,COD,-0.0019,03/12/2020,SJ/LD,,,,0.0011,28/01/2021,LH
14354,,,,,,,,,,,,,,0.0014,26/07/2017,COD,,,,-0.0048,26/07/2017,COD,-0.0043,03/12/2020,SJ/LD,,,,-0.0035,28/01/2021,LH
14355,,,,,,,,,,,,,,0.0006,08/01/2018,LOH,,,,3.3854,26/07/2017,COD,-0.0028,03/12/2020,SJ/LD,,,,-2.9401,28/01/2021,SJ/LD - BAD C
14356,,,,,,,,,,,,,,0.001,08/01/2018,LOH,,,,-0.0021,26/07/2017,COD,-0.0016,24/01/2019,SJ,,,,0.1377,28/01/2021,LH
14364,,,,,,,,,,,,,,0.0016,08/01/2018,LOH,,,,-0.0009,26/07/2017,COD,0.0142,24/01/2019,SJ,,,,,,
14365,,,,,,,,,,,,,,0.0012,08/01/2018,LOH,,,,-0.0022,26/07/2017,COD,,,,,,,,,
14366,,,,,,,,,,,,,,0.0011,08/01/2018,LOH,,,,-0.0008,26/07/2017,COD,0.0061,24/01/2019,SJ,,,,0.0277,29/01/2021,LH
14367,,,,,,,,,,,,,,0.0002,08/01/2018,LOH,,,,-0.0048,26/07/2017,COD,-0.0036,24/01/2019,SJ,,,,0.0007,29/01/2021,LH
14368,,,,,,,,,,,,,,0.0018,08/01/2018,LOH,,,,-0.0021,26/07/2017,COD,-0.0025,03/12/2020,SJ/LD,,,,0.0199,28/01/2021,LH
14987,,,,,,,,,,,,,,,,,,,,-0.0022,07/02/2019,SJ,-0.0009,07/02/2019,SJ,,,,,,
15254,,,,,,,,,,,,,,,,,,,,-0.004,07/02/2019,SJ,-0.005,08/02/2019,SJ,,,,,19/11/2020,SJ/LD
15298,,,,,,,,,,,,,,,,,,,,0.0055,07/02/2019,SJ,0.0086,07/02/2019,SJ,,,,1.794,02/12/2020,SJ/LD - BAD C
Conductivity,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,delta C ,Date,Comment,delta C ,Date ,Comment,,delta C ,Date,Comment,delta C ,Date ,Comment,delta C ,Date,Comment,delta C ,Date ,Comment,delta C,Date,Comment,delta C,Date,Comment,delta C ,Date ,Comment,delta C ,Date ,Comment
