Temperature,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,Delta T,Date,Comment,Delta T,Date ,Comment,,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment
,[K],,,[K],,,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,DY053,,,DY054,,,DY078,,,AR304,,,MSM74,,,DY120,,
11290,0.0004,14/12/2015,CRG,-0.0001,14/12/2015,CRG,,,,,-0.0001,14/12/2015,CRG*,,,,-0.0009,05/10/2016,CRG,-0.0003,24/01/2019,SJ,0.0008,03/12/2020,SJ/LD,,,,0.0017,02/12/2020,SJ/LD
11320,0.0002,14/12/2015,CRG,0,14/12/2015,CRG,,,,,0,14/12/2015,CRG*,,,,-0.0008,05/10/2016,CRG,-0.0001,24/01/2019,SJ,-0.0008,19/02/2019,SJ - manually edit .raw file as YY incorrect,,,,0.0008,01/02/2021,LD
11321,-0.0009,14/12/2015,CRG,-0.0004,12/09/2016,CRG,,,,,,,,-0.001,30/08/2016,CRG,,,,,,,-0.0007,24/01/2019,SJ,0.0003,04/02/2019,LH,0.0007,15/12/2020,SJ/LD
11322,-0.0011,14/12/2015,CRG,-0.0008,12/09/2016,CRG,,,,,,,,,,,,,,-0.0003,24/01/2019,SJ,-0.0001,07/02/2019,SJ,,,,0.0014,01/02/2021,LD
11323,-0.0003,14/12/2015,CRG,-0.0003,12/09/2016,CRG,,,,,,,,-0.0006,30/08/2016,CRG,,,,,,,-0.0004,24/01/2019,SJ,0.0007,04/02/2019,LH,0.0007,15/12/2020,SJ/LD
11324,-0.0004,14/12/2015,CRG,-0.0005,12/09/2016,CRG,,,,,,,,-0.0008,30/08/2016,CRG,,,,,,,-0.0007,24/01/2019,SJ,0.0004,04/02/2019,LH,0.0004,15/12/2020,SJ/LD
11325,-0.0004,14/12/2015,CRG,,LH flooded,,,,,,,,,,,,,,,-0.0008,24/01/2019,SJ,-0.0004,07/02/2019,SJ,,,,,,
11326,,,,,,,,-0.0021,23/08/2016,CRG,0.0031,26/08/2016,CRG,,,,-0.0007,05/10/2016,CRG,,,,-0.0008,24/01/2019,SJ,,,,0.0005,15/12/2020,SJ/LD
11327,,,,,,,,0.0002,24/08/2016,CRG,0.0007,23/09/2016,CRG,,,,-0.001,05/10/2016,CRG,-0.0015,07/02/2019,SJ,-0.0008,07/02/2019,SJ,,,,0.0003,01/02/2021,LD
11328,,,,,,,,-0.0025,23/08/2016,CRG,0.0023,26/08/2016,CRG,,,,-0.0009,05/10/2016,CRG,,,,-0.001,24/01/2019,SJ,,,,0,15/12/2020,SJ/LD
11329,,,,,,,,-0.0014,23/08/2016,CRG,0.0002,26/08/2016,CRG,-0.0014,26/07/2017,COD,,,,-0.0021,26/07/2017,COD,-0.0005,03/12/2020,SJ/LD,,,,0.0007,02/12/2020,SJ/LD
11330,,,,,,,,-0.0009,24/08/2016,CRG,0.0007,26/08/2016,CRG,,,,-0.0006,05/10/2016,CRG,-0.0012,07/02/2019,SJ,-0.0008,07/02/2019,SJ,,,,0.001,01/02/2021,LD
11331,0.0002,14/12/2015,CRG,-0.0006,12/09/2016,CRG,,,,,,,,-0.0009,30/08/2016,CRG,,,,,,,-0.0006,24/01/2019,SJ,0.0002,04/02/2019,LH,0.0005,15/12/2020,SJ/LD
11332,0.0017,14/12/2015,CRG,0.0009,12/09/2016,CRG,,,,,,,,0.0006,30/08/2016,CRG,,,,,,,0.0013,24/01/2019,SJ,0.0019,04/02/2019,LH,0.0019,15/12/2020,SJ/LD
11333,0.0022,14/12/2015,CRG,0.0012,12/09/2016,CRG,,,,,,,,0.0009,30/08/2016,CRG,,,,,,,0.0016,24/01/2019,SJ,0.0023,04/02/2019,LH,0.0022,02/02/2021,LH
11334,0.0018,14/12/2015,CRG,0.0016,14/12/2015,CRG,,,,,,,,,,,,,,-0.0013,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,,,,
11335,0.0008,14/12/2015,CRG,0.0005,14/12/2015,CRG,,,,,0.0005,14/12/2015,CRG*,,,,0,05/10/2016,CRG,-0.0007,07/02/2019,SJ,-0.0002,07/02/2019,SJ,,,,,,
11333,0.0022,14/12/2015,CRG,0.0012,12/09/2016,CRG,,,,,,,,0.0009,30/08/2016,CRG,,,,,,,0.0016,24/01/2019,SJ,0.0023,04/02/2019,LH,,,
11334,0.0018,14/12/2015,CRG,0.0016,14/12/2015,CRG,,,,,,,,,,,,,,-0.0013,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,,0.0009,01/02/2021,LD
11335,0.0008,14/12/2015,CRG,0.0005,14/12/2015,CRG,,,,,0.0005,14/12/2015,CRG*,,,,0,05/10/2016,CRG,-0.0007,07/02/2019,SJ,-0.0002,07/02/2019,SJ,,,,0.0011,01/02/2021,LD
11336,,,,,,,,-0.001,23/08/2016,CRG,0.0018,26/08/2016,CRG,,,,-0.0007,05/10/2016,CRG,,,,-0.0007,24/01/2019,SJ,,,,0.0007,15/12/2020,SJ/LD
11337,,,,,,,,-0.0029,23/08/2016,CRG,-0.0004,26/08/2016,CRG,-0.0009,26/07/2017,COD,,,,-0.0021,26/07/2017,COD,-0.0003,03/12/2020,SJ/LD,,,,0.0006,02/12/2020,SJ/LD
11338,,,,,,,,0.0027,21/09/2016,CRG,-0.001,23/09/2016,CRG,,,,-0.0018,05/10/2016,CRG,-0.0011,07/02/2019,SJ,-0.0016,07/02/2019,SJ,,,,0.0014,01/02/2021,LD
11339,,,,,,,,-0.0001,23/08/2016,CRG,0.0019,26/08/2016,CRG,0,26/07/2017,COD,,,,-0.0008,26/07/2017,COD,0.0001,24/01/2019,SJ,,,,0.0011,15/12/2020,SJ/LD
11340,,,,,,,,-0.0001,23/08/2016,CRG,0.0034,26/08/2016,CRG,,,,0.0004,05/10/2016,CRG,,,,0.0004,24/01/2019,SJ,,,,0.0016,15/12/2020,SJ/LD
11341,,,,,,,,0.0046,21/09/2016,CRG,0.002,26/08/2016,CRG,,,,0.0008,05/10/2016,CRG,-0.0001,07/02/2019,SJ,0.0007,07/02/2019,SJ,,,,0.0004,01/02/2021,LD
11342,,,,,,,,0.0011,24/08/2016,CRG,0.0018,23/09/2016,CRG,,,,0.0004,05/10/2016,CRG,-0.0003,07/02/2019,SJ,0.0007,07/02/2019,SJ,,,,0.0013,01/02/2021,LD
11343,,,,,,,,0.0039,21/09/2016,CRG,0.0005,23/09/2016,CRG,,,,-0.0003,05/10/2016,CRG,-0.0009,07/02/2019,SJ,-0.0001,07/02/2019,SJ,,,,0.0016,01/02/2021,LD
11465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,01/02/20221,LD
13019,,,,-0.0002,12/09/2016,CRG,,,,,,,,-0.0011,30/08/2016,CRG,,,,,,,-0.0008,24/01/2019,SJ,0.0003,04/02/2019,LH,0,15/12/2020,SJ/LD
13020,,,,-0.0008,12/09/2016,CRG,,,,,,,,-0.0012,30/08/2016,CRG,,,,,,,,,,0.0002,04/02/2019,LH,0.0011,01/02/2021,LD
13021,,,,-0.0016,12/09/2016,CRG,,,,,,,,-0.001,30/08/2016,CRG,,,,,,,-0.0007,24/01/2019,SJ,0.0003,04/02/2019,LH,,,
13022,,,,-0.0005,12/09/2016,CRG,,,,,,,,-0.0011,30/08/2016,CRG,,,,,,,,,,0.0002,07/02/2019,LH,,,
14353,,,,,,,,,,,,,,-0.0009,26/07/2017,COD,,,,-0.0013,26/07/2017,COD,-0.0004,19/11/2020,SJ/LD,,,,0.0008,02/12/2020,SJ/LD
14354,,,,,,,,,,,,,,-0.001,26/07/2017,COD,,,,-0.0016,26/07/2017,COD,0.0002,19/11/2020,SJ/LD,,,,0.0005,02/12/2020,SJ/LD
14355,,,,,,,,,,,,,,-0.0001,08/01/2018,LOH,,,,-0.0015,26/07/2017,COD,-0.0003,03/12/2020,SJ/LD,,,,0.0007,02/12/2020,SJ/LD
14356,,,,,,,,,,,,,,0.0004,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,0,24/01/2019,SJ,,,,0.0005,02/02/2021,LH
14364,,,,,,,,,,,,,,0.0002,08/01/2018,LOH,,,,-0.0017,26/07/2017,COD,0.0001,24/01/2019,SJ,,,,,,
14365,,,,,,,,,,,,,,-0.0002,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,,,,,,,,,
14356,,,,,,,,,,,,,,0.0004,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,0,24/01/2019,SJ,,,,,,
14364,,,,,,,,,,,,,,0.0002,08/01/2018,LOH,,,,-0.0017,26/07/2017,COD,0.0001,24/01/2019,SJ,,,,0.0011,01/02/2021,LD
14365,,,,,,,,,,,,,,-0.0002,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,,,,,,,0.0011,01/02/2021,LD
14366,,,,,,,,,,,,,,-0.0001,08/01/2018,LOH,,,,-0.002,26/07/2017,COD,0.0001,24/01/2019,SJ,,,,0.0006,15/12/2020,SJ/LD
14367,,,,,,,,,,,,,,-0.0006,08/01/2018,LOH,,,,-0.0022,26/07/2017,COD,0.0003,24/01/2019,SJ,,,,0.001,15/12/2020,SJ/LD
14368,,,,,,,,,,,,,,0.0007,08/01/2018,LOH,,,,-0.001,26/07/2017,COD,-0.0006,03/12/2020,SJ/LD,,,,0.0007,02/12/2020,SJ/LD
14987,,,,,,,,,,,,,,,,,,,,-0.001,07/02/2019,SJ,-0.0009,07/02/2019,SJ,,,,,,
15254,,,,,,,,,,,,,,,,,,,,-0.0017,07/02/2019,SJ,-0.0019,07/02/2019,SJ,,,,,19/11/2020,SJ/LD
15298,,,,,,,,,,,,,,,,,,,,-0.0008,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,,0.0009,02/12/2020,SJ/LD
15298,,,,,,,,,,,,,,,,,,,,-0.0008,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,,0.0009,02/12/2020,SJ/LD
21318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,01/02/2021,LD
21320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,01/02/2021,LD
21560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,01/02/2021,LD
