Pressure,Difference,MicroCAT,minus,CTD,from,Calibration dips,,,from,Calibration dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise ID,,1,,,,2,,,,2,,,,3,,,,4,,,,4,,,,5,,,,5,,,,6,,,,6,,,,7,,,,7,,,,8,,,,9,,,,8,,,,10,,
Sensor ID,Mooring,delta P ,Date,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P,Date,Comment,Mooring,delta P,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment
,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,
,,KN221-02,,,,PE399,,,,PE399,,,,KN221-03,,,,PE400,,,,PE400,,,,DY053,,,,DY053,,,,DY054,,,,DY054,,,,DY078,,,,DY078,,,,AR304,,,,MSM74,,,,AR304,,,,DY120,,
10559,,,,,,,,,,,,,nocm2_01_2014,1.9,21/09/2016,CRG,nocm2_01_2014,4.6,26/08/2016,CRG,,,,,,,,,rteb1_03_2016,2.4,27/07/2017,COD,,,,,,,,,rteb1_03_2016,2.6,26/07/2017,COD,,,,,rtwb1_05_2018,2.3,03/12/2020,SJ/LD,,,,,,,,,rtwb1_05_2018,1,02/12/2020,SJ/LD
10560,,,,,,,,,,,,,nocm4_01_2014,0.9,21/09/2016,CRG,nocm4_01_2014,3.8,26/08/2016,CRG,nocm3_02_2015,3.8,05/10/2016,CRG,,,,,,,,,nocm3_02_2015,3.1,05/10/2016,CRG,,,,,,,,,rtwb1_04_2017,2.7,24/01/2019,SJ,rtwb1_04_2017,2,03/12/2020,SJ/LD,,,,,,,,,rteb1_05_2018,0.4,02/12/2020,SJ/LD
10561,,,,,,,,,,,,,nocm3_01_2014,1.7,24/08/2016,CRG,nocm3_01_2014,3.4,26/08/2016,CRG,nocm1_02_2015,3.7,05/10/2016,CRG,,,,,,,,,nocm1_02_2015,3.4,05/10/2016,CRG,nocm4_03_2016,3.4,04/02/2019,LH,,,,,,,,,,,,,,,,,ib3_01_2018,0.4,01/02/2021,LH,ib3_01_2018,-1.8,01/02/2021,LH
10562,,,,,,,,,,,,,nocm5_01_2014,3.8,24/08/2016,CRG,nocm5_01_2014,6.7,23/09/2016,CRG,,,,,,,,,rteb1_03_2016,2.1,27/07/2017,COD,,,,,,,,,rteb1_03_2016,2.5,26/07/2017,COD,,,,,rteb1_05_2018,7.6,03/12/2020,SJ/LD - poor P,,,,,,,,,rteb1_05_2018,6.2,02/12/2020,SJ/LD - poor P
10575,rtwb1_01_2014,1.2,21/10/2015,LH,rtwb1_01_2014,1.2,14/12/2015,CRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10576,,NaN,21/10/2015,LH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577,rtwb1_01_2014,0.8,21/10/2015,LH,rtwb1_01_2014,1.6,14/12/2015,CRG,,,,,,,,,,,,,nocm3_02_2015,4.2,05/10/2016,CRG,,,,,,,,,nocm3_02_2015,4.5,05/10/2016,CRG,,,,,,,,,rtwb1_04_2017,3.3,24/01/2019,SJ,rtwb1_04_2017,2.9,03/12/2020,SJ/LD,,,,,,,,,rteb1_05_2018,1.5,02/12/2020,SJ/LD
10578,rtwb1_01_2014,1.8,21/10/2015,LH,rtwb1_01_2014,1.4,14/12/2015,CRG,,,,,,,,,,,,,nocm2_02_2015,3.5,05/10/2016,CRG,,,,,,,,,nocm2_02_2015,4.4,05/10/2016,CRG,nocm5_03_2016,5,04/02/2019,LH,,,,,,,,,,,,,,,,,ib3_01_2018,4,01/02/2021,LH,ib3_01_2018,2.5,01/02/2021,LH
10579,rtwb1_01_2014,2,21/10/2015,LH,rtwb1_01_2014,2.2,14/12/2015,CRG,,,,,,,,,,,,,nocm2_02_2015,3.1,05/10/2016,CRG,,,,,,,,,nocm2_02_2015,4.2,05/10/2016,CRG,nocm5_03_2016,4.9,04/02/2019,LH,,,,,,,,,,,,,,,,,ib3_01_2018,2.4,01/02/2021,LH,ib3_01_2018,0.5,01/02/2021,LH
11287,,NaN,21/10/2015,LH,,,,,,,,,nocm3_01_2014,1.5,24/08/2016,CRG,nocm3_01_2014,3.3,26/08/2016,CRG,nocm2_02_2015,2.6,05/10/2016,CRG,,,,,,,,,nocm2_02_2015,2.3,05/10/2016,CRG,,,,,,,,,rtwb1_04_2017,0.7,24/01/2019,SJ,rtwb1_04_2017,0.1,03/12/2020,SJ/LD,,,,,,,,,rteb1_05_2018,,02/12/2020,SJ/LD
